Model,postcode,date,Price Category,Value
Actual,AB35 5SQ,20/09/2024,Express 2,91.2
Actual,AB35 5SQ,20/09/2024,Emergency,91.21
Actual,AB35 5SQ,21/09/2024,Standard,72.9
Actual,AB35 5SQ,21/09/2024,Express 5,74.84
Actual,AB35 5SQ,21/09/2024,Express 3,82.29
Actual,AB35 5SQ,21/09/2024,Express 2,91.2
Actual,AB35 5SQ,21/09/2024,Emergency,91.21
Actual,AB35 5SQ,22/09/2024,Standard,72.9
Actual,AB35 5SQ,22/09/2024,Express 5,74.84
Actual,AB35 5SQ,22/09/2024,Express 3,82.29
Actual,AB35 5SQ,22/09/2024,Express 2,91.2
Actual,AB35 5SQ,22/09/2024,Emergency,91.21
Actual,AB35 5SQ,23/09/2024,Standard,72.9
Actual,AB35 5SQ,23/09/2024,Express 5,74.84
Actual,AB35 5SQ,23/09/2024,Express 3,82.29
Actual,AB35 5SQ,23/09/2024,Express 2,91.2
Actual,AB35 5SQ,23/09/2024,Emergency,91.21
Actual,AB35 5SQ,24/09/2024,Standard,72.7
Actual,AB35 5SQ,24/09/2024,Express 5,74.84
Actual,AB35 5SQ,24/09/2024,Express 3,82.29
Actual,AB35 5SQ,24/09/2024,Express 2,91.2
Actual,AB35 5SQ,24/09/2024,Emergency,91.21
Actual,AB35 5SQ,25/09/2024,Standard,72.7
Actual,AB35 5SQ,25/09/2024,Express 5,74.84
Actual,AB35 5SQ,25/09/2024,Express 3,82.29
Actual,AB35 5SQ,25/09/2024,Express 2,91.2
Actual,AB35 5SQ,25/09/2024,Emergency,91.21
Actual,AB35 5SQ,26/09/2024,Standard,72.7
Actual,AB35 5SQ,26/09/2024,Express 5,74.84
Actual,AB35 5SQ,26/09/2024,Express 3,82.29
Actual,AB35 5SQ,26/09/2024,Express 2,91.2
Actual,AB35 5SQ,26/09/2024,Emergency,91.21
Actual,B461JQ,19/09/2024,Standard,50.45
Actual,B461JQ,19/09/2024,Express 5,50.84
Actual,B461JQ,19/09/2024,Express 3,53.75
Actual,B461JQ,19/09/2024,Express 2,54.89
Actual,B461JQ,19/09/2024,Emergency,61.44
Actual,B461JQ,20/09/2024,Standard,50.45
Actual,B461JQ,20/09/2024,Express 5,50.84
Actual,B461JQ,20/09/2024,Express 3,53.75
Actual,B461JQ,20/09/2024,Express 2,54.9
Actual,B461JQ,20/09/2024,Emergency,61.45
Actual,B461JQ,21/09/2024,Standard,50.45
Actual,B461JQ,21/09/2024,Express 5,50.84
Actual,B461JQ,21/09/2024,Express 3,53.75
Actual,B461JQ,21/09/2024,Express 2,56.63
Actual,B461JQ,21/09/2024,Emergency,64.79
Actual,B461JQ,22/09/2024,Standard,50.45
Actual,B461JQ,22/09/2024,Express 5,50.84
Actual,B461JQ,22/09/2024,Express 3,53.75
Actual,B461JQ,22/09/2024,Express 2,56.63
Actual,B461JQ,22/09/2024,Emergency,64
Actual,B461JQ,23/09/2024,Standard,50.45
Actual,B461JQ,23/09/2024,Express 5,50.84
Actual,B461JQ,23/09/2024,Express 3,53.75
Actual,B461JQ,23/09/2024,Express 2,56.63
Actual,B461JQ,23/09/2024,Emergency,64
Actual,B461JQ,24/09/2024,Standard,51.37
Actual,B461JQ,24/09/2024,Express 5,51.76
Actual,B461JQ,24/09/2024,Express 3,54.67
Actual,B461JQ,24/09/2024,Express 2,57.54
Actual,B461JQ,24/09/2024,Emergency,64
Actual,B461JQ,25/09/2024,Standard,51.87
Actual,B461JQ,25/09/2024,Express 5,52.26
Actual,B461JQ,25/09/2024,Express 3,55.17
Actual,B461JQ,25/09/2024,Express 2,58.04
Actual,B461JQ,25/09/2024,Emergency,64
Actual,B461JQ,26/09/2024,Standard,51.83
Actual,B461JQ,26/09/2024,Express 5,52.22
Actual,B461JQ,26/09/2024,Express 3,55.13
Actual,B461JQ,26/09/2024,Express 2,58
Actual,B461JQ,26/09/2024,Emergency,62.97
Actual,B95 5NN,19/09/2024,Standard,53.53
Actual,B95 5NN,19/09/2024,Express 5,54.28
Actual,B95 5NN,19/09/2024,Express 3,54.33
Actual,B95 5NN,19/09/2024,Express 2,58.53
Actual,B95 5NN,19/09/2024,Emergency,67.35
Actual,B95 5NN,20/09/2024,Standard,53.55
Actual,B95 5NN,20/09/2024,Express 5,54.3
Actual,B95 5NN,20/09/2024,Express 3,54.35
Actual,B95 5NN,20/09/2024,Express 2,58.55
Actual,B95 5NN,20/09/2024,Emergency,67.35
Actual,B95 5NN,21/09/2024,Standard,57.94
Actual,B95 5NN,21/09/2024,Express 5,58.69
Actual,B95 5NN,21/09/2024,Express 3,67.35
Actual,B95 5NN,21/09/2024,Express 2,67.35
Actual,B95 5NN,21/09/2024,Emergency,67.35
Actual,B95 5NN,22/09/2024,Standard,57.94
Actual,B95 5NN,22/09/2024,Express 5,58.69
Actual,B95 5NN,22/09/2024,Express 3,67.35
Actual,B95 5NN,22/09/2024,Express 2,67.35
Actual,B95 5NN,22/09/2024,Emergency,67.35
Actual,B95 5NN,23/09/2024,Standard,57.94
Actual,B95 5NN,23/09/2024,Express 5,58.69
Actual,B95 5NN,23/09/2024,Express 3,67.35
Actual,B95 5NN,23/09/2024,Express 2,67.35
Actual,B95 5NN,23/09/2024,Emergency,67.35
Actual,B95 5NN,24/09/2024,Standard,57.89
Actual,B95 5NN,24/09/2024,Express 5,58.64
Actual,B95 5NN,24/09/2024,Express 3,63.19
Actual,B95 5NN,24/09/2024,Express 2,63.19
Actual,B95 5NN,24/09/2024,Emergency,63.2
Actual,B95 5NN,25/09/2024,Standard,55.75
Actual,B95 5NN,25/09/2024,Express 5,56.37
Actual,B95 5NN,25/09/2024,Express 3,63.19
Actual,B95 5NN,25/09/2024,Express 2,63.19
Actual,B95 5NN,25/09/2024,Emergency,63.2
Actual,B95 5NN,26/09/2024,Standard,56
Actual,B95 5NN,26/09/2024,Express 5,56.37
Actual,B95 5NN,26/09/2024,Express 3,63.19
Actual,B95 5NN,26/09/2024,Express 2,63.19
Actual,B95 5NN,26/09/2024,Emergency,63.2
Actual,CH2 1LE,19/09/2024,Standard,54.58
Actual,CH2 1LE,19/09/2024,Express 5,55.58
Actual,CH2 1LE,19/09/2024,Express 3,55.38
Actual,CH2 1LE,19/09/2024,Express 2,55.58
Actual,CH2 1LE,19/09/2024,Emergency,59.37
Actual,CH2 1LE,20/09/2024,Standard,54.58
Actual,CH2 1LE,20/09/2024,Express 5,55.58
Actual,CH2 1LE,20/09/2024,Express 3,55.34
Actual,CH2 1LE,20/09/2024,Express 2,55.54
Actual,CH2 1LE,20/09/2024,Emergency,59.33
Actual,CH2 1LE,21/09/2024,Standard,54.58
Actual,CH2 1LE,21/09/2024,Express 5,55.58
Actual,CH2 1LE,21/09/2024,Express 3,56.32
Actual,CH2 1LE,21/09/2024,Express 2,56.52
Actual,CH2 1LE,21/09/2024,Emergency,59.31
Actual,CH2 1LE,22/09/2024,Standard,54.58
Actual,CH2 1LE,22/09/2024,Express 5,55.58
Actual,CH2 1LE,22/09/2024,Express 3,56.3
Actual,CH2 1LE,22/09/2024,Express 2,56.5
Actual,CH2 1LE,22/09/2024,Emergency,59.29
Actual,CH2 1LE,23/09/2024,Standard,54.58
Actual,CH2 1LE,23/09/2024,Express 5,55.58
Actual,CH2 1LE,23/09/2024,Express 3,56.3
Actual,CH2 1LE,23/09/2024,Express 2,56.5
Actual,CH2 1LE,23/09/2024,Emergency,59.29
Actual,CH2 1LE,24/09/2024,Standard,54.52
Actual,CH2 1LE,24/09/2024,Express 5,55.52
Actual,CH2 1LE,24/09/2024,Express 3,56.2
Actual,CH2 1LE,24/09/2024,Express 2,56.96
Actual,CH2 1LE,24/09/2024,Emergency,59.25
Actual,CH2 1LE,25/09/2024,Standard,54.5
Actual,CH2 1LE,25/09/2024,Express 5,54.97
Actual,CH2 1LE,25/09/2024,Express 3,55.47
Actual,CH2 1LE,25/09/2024,Express 2,56.92
Actual,CH2 1LE,25/09/2024,Emergency,59.21
Actual,CH2 1LE,26/09/2024,Standard,54.48
Actual,CH2 1LE,26/09/2024,Express 5,55.43
Actual,CH2 1LE,26/09/2024,Express 3,55.93
Actual,CH2 1LE,26/09/2024,Express 2,58.6
Actual,CH2 1LE,26/09/2024,Emergency,61.19
Actual,CO10 9QZ,19/09/2024,Standard,56.29
Actual,CO10 9QZ,19/09/2024,Express 5,80
Actual,CO10 9QZ,19/09/2024,Express 3,71.5
Actual,CO10 9QZ,19/09/2024,Express 2,85
Actual,CO10 9QZ,19/09/2024,Emergency,90
Actual,CO10 9QZ,20/09/2024,Standard,56.08
Actual,CO10 9QZ,20/09/2024,Express 5,62.5
Actual,CO10 9QZ,20/09/2024,Express 3,71.5
Actual,CO10 9QZ,20/09/2024,Express 2,85
Actual,CO10 9QZ,20/09/2024,Emergency,90
Actual,CO10 9QZ,21/09/2024,Standard,56.08
Actual,CO10 9QZ,21/09/2024,Express 5,61.5
Actual,CO10 9QZ,21/09/2024,Express 3,71.5
Actual,CO10 9QZ,21/09/2024,Express 2,85
Actual,CO10 9QZ,21/09/2024,Emergency,90
Actual,CO10 9QZ,22/09/2024,Standard,56.08
Actual,CO10 9QZ,22/09/2024,Express 5,61.5
Actual,CO10 9QZ,22/09/2024,Express 3,71.5
Actual,CO10 9QZ,22/09/2024,Express 2,85
Actual,CO10 9QZ,22/09/2024,Emergency,90
Actual,CO10 9QZ,23/09/2024,Standard,56.81
Actual,CO10 9QZ,23/09/2024,Express 5,64
Actual,CO10 9QZ,23/09/2024,Express 3,71.5
Actual,CO10 9QZ,23/09/2024,Express 2,83
Actual,CO10 9QZ,23/09/2024,Emergency,90
Actual,CO10 9QZ,24/09/2024,Standard,55.28
Actual,CO10 9QZ,24/09/2024,Express 5,66
Actual,CO10 9QZ,24/09/2024,Express 3,71.5
Actual,CO10 9QZ,24/09/2024,Express 2,83
Actual,CO10 9QZ,24/09/2024,Emergency,90
Actual,CO10 9QZ,25/09/2024,Standard,55.08
Actual,CO10 9QZ,25/09/2024,Express 5,80
Actual,CO10 9QZ,25/09/2024,Express 3,71.5
Actual,CO10 9QZ,25/09/2024,Express 2,83
Actual,CO10 9QZ,25/09/2024,Emergency,90
Actual,CO10 9QZ,26/09/2024,Standard,55.22
Actual,CO10 9QZ,26/09/2024,Express 5,80
Actual,CO10 9QZ,26/09/2024,Express 3,71.5
Actual,CO10 9QZ,26/09/2024,Express 2,83
Actual,CO10 9QZ,26/09/2024,Emergency,90
Actual,CV2 1AA,19/09/2024,Standard,71.99
Actual,CV2 1AA,19/09/2024,Express 5,63.78
Actual,CV2 1AA,19/09/2024,Express 3,71.99
Actual,CV2 1AA,19/09/2024,Express 2,71.99
Actual,CV2 1AA,19/09/2024,Emergency,71.99
Actual,CV2 1AA,20/09/2024,Standard,71.99
Actual,CV2 1AA,20/09/2024,Express 5,63.78
Actual,CV2 1AA,20/09/2024,Express 3,71.99
Actual,CV2 1AA,20/09/2024,Express 2,71.99
Actual,CV2 1AA,20/09/2024,Emergency,71.99
Actual,CV2 1AA,21/09/2024,Standard,55.47
Actual,CV2 1AA,21/09/2024,Express 5,63.78
Actual,CV2 1AA,21/09/2024,Express 3,71.99
Actual,CV2 1AA,21/09/2024,Express 2,71.99
Actual,CV2 1AA,21/09/2024,Emergency,71.99
Actual,CV2 1AA,22/09/2024,Standard,55.47
Actual,CV2 1AA,22/09/2024,Express 5,63.78
Actual,CV2 1AA,22/09/2024,Express 3,79.9
Actual,CV2 1AA,22/09/2024,Express 2,79.9
Actual,CV2 1AA,22/09/2024,Emergency,79.9
Actual,CV2 1AA,23/09/2024,Standard,55.47
Actual,CV2 1AA,23/09/2024,Express 5,63.78
Actual,CV2 1AA,23/09/2024,Express 3,79.9
Actual,CV2 1AA,23/09/2024,Express 2,79.9
Actual,CV2 1AA,23/09/2024,Emergency,79.9
Actual,CV2 1AA,24/09/2024,Standard,55.47
Actual,CV2 1AA,24/09/2024,Express 5,63.39
Actual,CV2 1AA,24/09/2024,Express 3,76.99
Actual,CV2 1AA,24/09/2024,Express 2,77
Actual,CV2 1AA,24/09/2024,Emergency,77
Actual,CV2 1AA,25/09/2024,Standard,58.47
Actual,CV2 1AA,25/09/2024,Express 5,63.32
Actual,CV2 1AA,25/09/2024,Express 3,76.99
Actual,CV2 1AA,25/09/2024,Express 2,77
Actual,CV2 1AA,25/09/2024,Emergency,77
Actual,CV2 1AA,26/09/2024,Standard,58.47
Actual,CV2 1AA,26/09/2024,Express 5,63.3
Actual,CV2 1AA,26/09/2024,Express 3,76.99
Actual,CV2 1AA,26/09/2024,Express 2,77
Actual,CV2 1AA,26/09/2024,Emergency,77
Actual,CV47 2FE,19/09/2024,Standard,55.07
Actual,CV47 2FE,19/09/2024,Express 5,55.07
Actual,CV47 2FE,19/09/2024,Express 3,58.07
Actual,CV47 2FE,19/09/2024,Express 2,62.07
Actual,CV47 2FE,19/09/2024,Emergency,71.07
Actual,CV47 2FE,20/09/2024,Standard,55.1
Actual,CV47 2FE,20/09/2024,Express 5,55.1
Actual,CV47 2FE,20/09/2024,Express 3,58.1
Actual,CV47 2FE,20/09/2024,Express 2,62.1
Actual,CV47 2FE,20/09/2024,Emergency,71.1
Actual,CV47 2FE,21/09/2024,Standard,68.5
Actual,CV47 2FE,21/09/2024,Express 5,67.09
Actual,CV47 2FE,21/09/2024,Express 3,87
Actual,CV47 2FE,21/09/2024,Express 2,85.44
Actual,CV47 2FE,21/09/2024,Emergency,89
Actual,CV47 2FE,22/09/2024,Standard,68.5
Actual,CV47 2FE,22/09/2024,Express 5,67.09
Actual,CV47 2FE,22/09/2024,Express 3,87
Actual,CV47 2FE,22/09/2024,Express 2,85.44
Actual,CV47 2FE,22/09/2024,Emergency,89
Actual,CV47 2FE,23/09/2024,Standard,68.5
Actual,CV47 2FE,23/09/2024,Express 5,67.09
Actual,CV47 2FE,23/09/2024,Express 3,87
Actual,CV47 2FE,23/09/2024,Express 2,85.44
Actual,CV47 2FE,23/09/2024,Emergency,89
Actual,CV47 2FE,24/09/2024,Standard,72
Actual,CV47 2FE,24/09/2024,Express 5,67.09
Actual,CV47 2FE,24/09/2024,Express 3,82
Actual,CV47 2FE,24/09/2024,Express 2,82
Actual,CV47 2FE,24/09/2024,Emergency,82
Actual,CV47 2FE,25/09/2024,Standard,71.9
Actual,CV47 2FE,25/09/2024,Express 5,67.09
Actual,CV47 2FE,25/09/2024,Express 3,82
Actual,CV47 2FE,25/09/2024,Express 2,82
Actual,CV47 2FE,25/09/2024,Emergency,82
Actual,CV47 2FE,26/09/2024,Standard,71.84
Actual,CV47 2FE,26/09/2024,Express 5,66.9
Actual,CV47 2FE,26/09/2024,Express 3,81.95
Actual,CV47 2FE,26/09/2024,Express 2,82
Actual,CV47 2FE,26/09/2024,Emergency,82
Actual,DD10 8DS,19/09/2024,Standard,83.34
Actual,DD10 8DS,19/09/2024,Express 5,83.34
Actual,DD10 8DS,19/09/2024,Express 3,82.51
Actual,DD10 8DS,19/09/2024,Express 2,86.46
Actual,DD10 8DS,19/09/2024,Emergency,88.54
Actual,DD10 8DS,20/09/2024,Standard,83.32
Actual,DD10 8DS,20/09/2024,Express 5,83.32
Actual,DD10 8DS,20/09/2024,Express 3,82.49
Actual,DD10 8DS,20/09/2024,Express 2,86.44
Actual,DD10 8DS,20/09/2024,Emergency,88.52
Actual,DD10 8DS,21/09/2024,Standard,83.32
Actual,DD10 8DS,21/09/2024,Express 5,83.32
Actual,DD10 8DS,21/09/2024,Express 3,82.49
Actual,DD10 8DS,21/09/2024,Express 2,86.44
Actual,DD10 8DS,21/09/2024,Emergency,88.52
Actual,DD10 8DS,22/09/2024,Standard,83.32
Actual,DD10 8DS,22/09/2024,Express 5,83.32
Actual,DD10 8DS,22/09/2024,Express 3,82.49
Actual,DD10 8DS,22/09/2024,Express 2,86.44
Actual,DD10 8DS,22/09/2024,Emergency,88.52
Actual,DD10 8DS,23/09/2024,Standard,83.32
Actual,DD10 8DS,23/09/2024,Express 5,83.31
Actual,DD10 8DS,23/09/2024,Express 3,82.47
Actual,DD10 8DS,23/09/2024,Express 2,86.43
Actual,DD10 8DS,23/09/2024,Emergency,88.51
Actual,DD10 8DS,24/09/2024,Standard,83.3
Actual,DD10 8DS,24/09/2024,Express 5,83.3
Actual,DD10 8DS,24/09/2024,Express 3,82.47
Actual,DD10 8DS,24/09/2024,Express 2,86.42
Actual,DD10 8DS,24/09/2024,Emergency,88.5
Actual,DD10 8DS,25/09/2024,Standard,83.28
Actual,DD10 8DS,25/09/2024,Express 5,83.28
Actual,DD10 8DS,25/09/2024,Express 3,82.45
Actual,DD10 8DS,25/09/2024,Express 2,86.4
Actual,DD10 8DS,25/09/2024,Emergency,88.48
Actual,DD10 8DS,26/09/2024,Standard,83.22
Actual,DD10 8DS,26/09/2024,Express 5,83.22
Actual,DD10 8DS,26/09/2024,Express 3,82.39
Actual,DD10 8DS,26/09/2024,Express 2,86.34
Actual,DD10 8DS,26/09/2024,Emergency,88.42
Actual,DD8 1SJ,19/09/2024,Standard,83.34
Actual,DD8 1SJ,19/09/2024,Express 5,83.34
Actual,DD8 1SJ,19/09/2024,Express 3,82.51
Actual,DD8 1SJ,19/09/2024,Express 2,86.46
Actual,DD8 1SJ,19/09/2024,Emergency,88.54
Actual,DD8 1SJ,20/09/2024,Standard,83.32
Actual,DD8 1SJ,20/09/2024,Express 5,83.32
Actual,DD8 1SJ,20/09/2024,Express 3,82.49
Actual,DD8 1SJ,20/09/2024,Express 2,86.44
Actual,DD8 1SJ,20/09/2024,Emergency,88.52
Actual,DD8 1SJ,21/09/2024,Standard,83.32
Actual,DD8 1SJ,21/09/2024,Express 5,83.32
Actual,DD8 1SJ,21/09/2024,Express 3,82.49
Actual,DD8 1SJ,21/09/2024,Express 2,86.44
Actual,DD8 1SJ,21/09/2024,Emergency,88.52
Actual,DD8 1SJ,22/09/2024,Standard,83.32
Actual,DD8 1SJ,22/09/2024,Express 5,83.32
Actual,DD8 1SJ,22/09/2024,Express 3,82.49
Actual,DD8 1SJ,22/09/2024,Express 2,86.44
Actual,DD8 1SJ,22/09/2024,Emergency,88.52
Actual,DD8 1SJ,23/09/2024,Standard,83.32
Actual,DD8 1SJ,23/09/2024,Express 5,83.31
Actual,DD8 1SJ,23/09/2024,Express 3,82.47
Actual,DD8 1SJ,23/09/2024,Express 2,86.43
Actual,DD8 1SJ,23/09/2024,Emergency,88.51
Actual,DD8 1SJ,24/09/2024,Standard,83.3
Actual,DD8 1SJ,24/09/2024,Express 5,83.3
Actual,DD8 1SJ,24/09/2024,Express 3,82.47
Actual,DD8 1SJ,24/09/2024,Express 2,86.42
Actual,DD8 1SJ,24/09/2024,Emergency,88.5
Actual,DD8 1SJ,25/09/2024,Standard,83.28
Actual,DD8 1SJ,25/09/2024,Express 5,83.28
Actual,DD8 1SJ,25/09/2024,Express 3,82.45
Actual,DD8 1SJ,25/09/2024,Express 2,86.4
Actual,DD8 1SJ,25/09/2024,Emergency,88.48
Actual,DD8 1SJ,26/09/2024,Standard,83.22
Actual,DD8 1SJ,26/09/2024,Express 5,83.22
Actual,DD8 1SJ,26/09/2024,Express 3,82.39
Actual,DD8 1SJ,26/09/2024,Express 2,86.34
Actual,DD8 1SJ,26/09/2024,Emergency,88.42
Actual,DN21 1GD,19/09/2024,Standard,59
Actual,DN21 1GD,19/09/2024,Express 5,58.8
Actual,DN21 1GD,19/09/2024,Express 3,71
Actual,DN21 1GD,19/09/2024,Express 2,77.63
Actual,DN21 1GD,19/09/2024,Emergency,90.63
Actual,DN21 1GD,20/09/2024,Standard,59
Actual,DN21 1GD,20/09/2024,Express 5,58.8
Actual,DN21 1GD,20/09/2024,Express 3,71
Actual,DN21 1GD,20/09/2024,Express 2,77.63
Actual,DN21 1GD,20/09/2024,Emergency,90.63
Actual,DN21 1GD,21/09/2024,Standard,57
Actual,DN21 1GD,21/09/2024,Express 5,61.8
Actual,DN21 1GD,21/09/2024,Express 3,71
Actual,DN21 1GD,21/09/2024,Express 2,77.63
Actual,DN21 1GD,21/09/2024,Emergency,90.63
Actual,DN21 1GD,22/09/2024,Standard,57
Actual,DN21 1GD,22/09/2024,Express 5,61.8
Actual,DN21 1GD,22/09/2024,Express 3,71
Actual,DN21 1GD,22/09/2024,Express 2,77.63
Actual,DN21 1GD,22/09/2024,Emergency,90.63
Actual,DN21 1GD,23/09/2024,Standard,59
Actual,DN21 1GD,23/09/2024,Express 5,66
Actual,DN21 1GD,23/09/2024,Express 3,71
Actual,DN21 1GD,23/09/2024,Express 2,77.63
Actual,DN21 1GD,23/09/2024,Emergency,90.63
Actual,DN21 1GD,24/09/2024,Standard,59
Actual,DN21 1GD,24/09/2024,Express 5,66
Actual,DN21 1GD,24/09/2024,Express 3,71
Actual,DN21 1GD,24/09/2024,Express 2,77.63
Actual,DN21 1GD,24/09/2024,Emergency,90.63
Actual,DN21 1GD,25/09/2024,Standard,59
Actual,DN21 1GD,25/09/2024,Express 5,66
Actual,DN21 1GD,25/09/2024,Express 3,71
Actual,DN21 1GD,25/09/2024,Express 2,77.63
Actual,DN21 1GD,25/09/2024,Emergency,90.63
Actual,DN21 1GD,26/09/2024,Standard,59
Actual,DN21 1GD,26/09/2024,Express 5,66
Actual,DN21 1GD,26/09/2024,Express 3,71
Actual,DN21 1GD,26/09/2024,Express 2,77.63
Actual,DN21 1GD,26/09/2024,Emergency,90.63
Actual,EH20 9PX,19/09/2024,Standard,60.85
Actual,EH20 9PX,19/09/2024,Express 5,63.84
Actual,EH20 9PX,19/09/2024,Express 3,64.84
Actual,EH20 9PX,19/09/2024,Express 2,67.84
Actual,EH20 9PX,19/09/2024,Emergency,78.84
Actual,EH20 9PX,20/09/2024,Standard,60.83
Actual,EH20 9PX,20/09/2024,Express 5,63.83
Actual,EH20 9PX,20/09/2024,Express 3,64.83
Actual,EH20 9PX,20/09/2024,Express 2,67.83
Actual,EH20 9PX,20/09/2024,Emergency,78.83
Actual,EH20 9PX,21/09/2024,Standard,59.5
Actual,EH20 9PX,21/09/2024,Express 5,63.82
Actual,EH20 9PX,21/09/2024,Express 3,64.82
Actual,EH20 9PX,21/09/2024,Express 2,67.82
Actual,EH20 9PX,21/09/2024,Emergency,78.82
Actual,EH20 9PX,22/09/2024,Standard,59.5
Actual,EH20 9PX,22/09/2024,Express 5,63.82
Actual,EH20 9PX,22/09/2024,Express 3,64.82
Actual,EH20 9PX,22/09/2024,Express 2,67.82
Actual,EH20 9PX,22/09/2024,Emergency,78.82
Actual,EH20 9PX,23/09/2024,Standard,58.35
Actual,EH20 9PX,23/09/2024,Express 5,61.35
Actual,EH20 9PX,23/09/2024,Express 3,62.35
Actual,EH20 9PX,23/09/2024,Express 2,65.35
Actual,EH20 9PX,23/09/2024,Emergency,76.35
Actual,EH20 9PX,24/09/2024,Standard,58.35
Actual,EH20 9PX,24/09/2024,Express 5,61.35
